"","bullet1","bullet2","rf.diff","rf.diff.med","rf.max","rf.maxbar","type","type_truth"
"585","Ukn Q","Ukn Z",0.0784,0.134,0.386,0.1112,"Ukn","KNM"
"586","Ukn S","Ukn U",0.0676666666666667,0.02,0.29,0.099,"Ukn","KNM"
"587","Ukn S","Ukn X",0.6038,0.787,1,0.649,"Ukn","KM"
"588","Ukn S","Ukn Y",0.0712666666666667,0.032,0.566,0.104666666666667,"Ukn","KNM"
"589","Ukn S","Ukn Z",0.0402,0.021,0.224,0.0596666666666667,"Ukn","KNM"
"590","Ukn U","Ukn X",0.0212,0.025,0.204,0.0453333333333333,"Ukn","KNM"
"591","Ukn U","Ukn Y",0.0265333333333333,0.018,0.12,0.046,"Ukn","KNM"
"592","Ukn U","Ukn Z",0.00813333333333333,0.006,0.08,0.02,"Ukn","KNM"
"593","Ukn X","Ukn Y",0.0655333333333333,0.011,0.472,0.101666666666667,"Ukn","KNM"
"594","Ukn X","Ukn Z",0.0380666666666667,0.02,0.278,0.0566666666666667,"Ukn","KNM"
"595","Ukn Y","Ukn Z",0.110866666666667,0.013,0.652,0.144333333333333,"Ukn","KNM"
